======================================================================
start 2026-09-23 15:17:58 | experts=3 | batch 8 x 1 = eff 8 | res 512 | lr 0.0001 | grad-ckpt False | cudnn on | tf32 True
no time limit
loading experts (see per-expert lines below)...
Loading pipeline components...:   0%|          | 0/6 [00:00<?, ?it/s]Loading pipeline components...:  33%|███▎      | 2/6 [00:00<00:00, 18.38it/s]Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 26.62it/s]Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 25.46it/s]
You have disabled the safety checker for <class 'diffusers.pipelines.stable_diffusion.pipeline_stable_diffusion.StableDiffusionPipeline'> by passing `safety_checker=None`. Ensure that you abide to the conditions of the Stable Diffusion license and do not expose unfiltered results in services or applications open to the public. Both the diffusers team and Hugging Face strongly recommend to keep the safety filter enabled in all public facing circumstances, disabling it only for use-cases that involve analyzing network behavior or auditing its results. For more information, please have a look at https://github.com/huggingface/diffusers/pull/254 .
  loading expert 1/3: _new_experts/epicrealism.safetensors
/root/autodl-tmp/afa/.venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
You have disabled the safety checker for <class 'diffusers.pipelines.stable_diffusion.pipeline_stable_diffusion.StableDiffusionPipeline'> by passing `safety_checker=None`. Ensure that you abide to the conditions of the Stable Diffusion license and do not expose unfiltered results in services or applications open to the public. Both the diffusers team and Hugging Face strongly recommend to keep the safety filter enabled in all public facing circumstances, disabling it only for use-cases that involve analyzing network behavior or auditing its results. For more information, please have a look at https://github.com/huggingface/diffusers/pull/254 .
  loading expert 2/3: _new_experts/majicmix_v6.safetensors
You have disabled the safety checker for <class 'diffusers.pipelines.stable_diffusion.pipeline_stable_diffusion.StableDiffusionPipeline'> by passing `safety_checker=None`. Ensure that you abide to the conditions of the Stable Diffusion license and do not expose unfiltered results in services or applications open to the public. Both the diffusers team and Hugging Face strongly recommend to keep the safety filter enabled in all public facing circumstances, disabling it only for use-cases that involve analyzing network behavior or auditing its results. For more information, please have a look at https://github.com/huggingface/diffusers/pull/254 .
  loading expert 3/3: realistic_vision_v5.1/Realistic_Vision_V5.1.safetensors
You have disabled the safety checker for <class 'diffusers.pipelines.stable_diffusion.pipeline_stable_diffusion.StableDiffusionPipeline'> by passing `safety_checker=None`. Ensure that you abide to the conditions of the Stable Diffusion license and do not expose unfiltered results in services or applications open to the public. Both the diffusers team and Hugging Face strongly recommend to keep the safety filter enabled in all public facing circumstances, disabling it only for use-cases that involve analyzing network behavior or auditing its results. For more information, please have a look at https://github.com/huggingface/diffusers/pull/254 .
load_init done; moving components to cuda...
experts loaded; trainable aggregator params 45.13M; experts: ['epicrealism.safetensors', 'majicmix_v6.safetensors', 'Realistic_Vision_V5.1.safetensors']
Generating train split: 0 examples [00:00, ? examples/s]Generating train split: 10000 examples [00:00, 644692.36 examples/s]
step      0 | eval_loss=0.09587 | expert0_weight=0.333 | |attn-0.5|=0.167  (initialisation)
/root/autodl-tmp/afa/train_paper_setting.py:149: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:835.)
  w0 = float(torch.stack([m.float()[:, 0].mean() for m in attn_maps]).mean())
step     10 | loss=0.18743 w0=0.328 dev=0.167 | EVAL loss=0.09566 w0=0.314 dev=0.167 | 0.75s/step | epoch 0 | 15:19:03
step     20 | loss=0.15762 w0=0.312 dev=0.167 | EVAL loss=0.09475 w0=0.260 dev=0.169 | 0.64s/step | epoch 0 | 15:19:10
step     30 | loss=0.16048 w0=0.286 dev=0.171 | EVAL loss=0.09360 w0=0.188 dev=0.208 | 0.64s/step | epoch 0 | 15:19:16
step     40 | loss=0.16659 w0=0.255 dev=0.188 | EVAL loss=0.09288 w0=0.130 dev=0.286 | 0.64s/step | epoch 0 | 15:19:23
step     50 | loss=0.16326 w0=0.228 dev=0.212 | EVAL loss=0.09250 w0=0.100 dev=0.340 | 0.65s/step | epoch 0 | 15:19:29
step     60 | loss=0.15839 w0=0.205 dev=0.235 | EVAL loss=0.09241 w0=0.078 dev=0.366 | 0.65s/step | epoch 0 | 15:19:36
step     70 | loss=0.15910 w0=0.186 dev=0.254 | EVAL loss=0.09237 w0=0.060 dev=0.390 | 0.65s/step | epoch 0 | 15:19:42
step     80 | loss=0.15678 w0=0.170 dev=0.272 | EVAL loss=0.09235 w0=0.045 dev=0.406 | 0.64s/step | epoch 0 | 15:19:48
step     90 | loss=0.15598 w0=0.156 dev=0.286 | EVAL loss=0.09240 w0=0.040 dev=0.410 | 0.64s/step | epoch 0 | 15:19:55
step    100 | loss=0.15428 w0=0.144 dev=0.299 | EVAL loss=0.09240 w0=0.029 dev=0.423 | 0.64s/step | epoch 0 | 15:20:01
step    110 | loss=0.15823 w0=0.133 dev=0.310 | EVAL loss=0.09237 w0=0.023 dev=0.432 | 0.64s/step | epoch 0 | 15:20:08
step    120 | loss=0.15797 w0=0.125 dev=0.320 | EVAL loss=0.09236 w0=0.019 dev=0.442 | 0.64s/step | epoch 0 | 15:20:14
step    130 | loss=0.15699 w0=0.117 dev=0.329 | EVAL loss=0.09232 w0=0.018 dev=0.440 | 0.64s/step | epoch 0 | 15:20:21
step    140 | loss=0.15903 w0=0.110 dev=0.336 | EVAL loss=0.09226 w0=0.017 dev=0.436 | 0.65s/step | epoch 0 | 15:20:27
step    150 | loss=0.15891 w0=0.104 dev=0.342 | EVAL loss=0.09218 w0=0.014 dev=0.437 | 0.64s/step | epoch 0 | 15:20:34
step    160 | loss=0.16003 w0=0.099 dev=0.348 | EVAL loss=0.09217 w0=0.015 dev=0.435 | 0.66s/step | epoch 0 | 15:20:40
step    170 | loss=0.15925 w0=0.094 dev=0.352 | EVAL loss=0.09216 w0=0.020 dev=0.433 | 0.64s/step | epoch 0 | 15:20:47
step    180 | loss=0.15748 w0=0.090 dev=0.357 | EVAL loss=0.09214 w0=0.013 dev=0.437 | 0.64s/step | epoch 0 | 15:20:53
step    190 | loss=0.15759 w0=0.086 dev=0.361 | EVAL loss=0.09211 w0=0.012 dev=0.438 | 0.64s/step | epoch 0 | 15:21:00
step    200 | loss=0.15684 w0=0.082 dev=0.365 | EVAL loss=0.09204 w0=0.010 dev=0.441 | 0.65s/step | epoch 0 | 15:21:06
step    210 | loss=0.15595 w0=0.079 dev=0.368 | EVAL loss=0.09203 w0=0.009 dev=0.446 | 0.64s/step | epoch 0 | 15:21:12
step    220 | loss=0.15587 w0=0.076 dev=0.371 | EVAL loss=0.09192 w0=0.008 dev=0.446 | 0.65s/step | epoch 0 | 15:21:19
step    230 | loss=0.15604 w0=0.073 dev=0.374 | EVAL loss=0.09192 w0=0.009 dev=0.445 | 0.67s/step | epoch 0 | 15:21:26
step    240 | loss=0.15731 w0=0.071 dev=0.377 | EVAL loss=0.09188 w0=0.010 dev=0.444 | 0.66s/step | epoch 0 | 15:21:32
step    250 | loss=0.15753 w0=0.069 dev=0.379 | EVAL loss=0.09185 w0=0.009 dev=0.447 | 0.67s/step | epoch 0 | 15:21:39
step    260 | loss=0.15888 w0=0.066 dev=0.382 | EVAL loss=0.09179 w0=0.013 dev=0.445 | 0.65s/step | epoch 0 | 15:21:45
step    270 | loss=0.15806 w0=0.064 dev=0.384 | EVAL loss=0.09174 w0=0.007 dev=0.451 | 0.64s/step | epoch 0 | 15:21:52
step    280 | loss=0.15686 w0=0.062 dev=0.387 | EVAL loss=0.09175 w0=0.007 dev=0.454 | 0.64s/step | epoch 0 | 15:21:58
step    290 | loss=0.15749 w0=0.061 dev=0.389 | EVAL loss=0.09177 w0=0.008 dev=0.457 | 0.65s/step | epoch 0 | 15:22:05
step    300 | loss=0.15791 w0=0.059 dev=0.391 | EVAL loss=0.09175 w0=0.008 dev=0.454 | 0.64s/step | epoch 0 | 15:22:11
step    310 | loss=0.15750 w0=0.058 dev=0.393 | EVAL loss=0.09182 w0=0.015 dev=0.450 | 0.64s/step | epoch 0 | 15:22:18
step    320 | loss=0.15746 w0=0.056 dev=0.394 | EVAL loss=0.09174 w0=0.012 dev=0.454 | 0.66s/step | epoch 0 | 15:22:24
step    330 | loss=0.15768 w0=0.055 dev=0.396 | EVAL loss=0.09166 w0=0.007 dev=0.463 | 0.65s/step | epoch 0 | 15:22:31
